"StoreID" "Longitude" "Latitude" "Group" "Labels" "BusStopID"
"Store_218" 8.772018 50.80964 "imbiss" "Fantasticum" "Stop 35"
"Store_219" 8.75939 50.802563 "imbiss" "Genc Snackbar" "Stop 33"
"Store_221" 8.76052 50.7965 "imbiss" "Hallo Pizza" "Stop 14"
"Store_223" 8.77383 50.80975 "imbiss" "Lecker-Eck Imbiss" "Stop 9"
"Store_225" 8.76839 50.83233 "imbiss" "McDonald's" "Stop 26"
"Store_226" 8.768825 50.808499 "imbiss" "Mevlana" "Stop 16"
"Store_227" 8.77242 50.80864 "imbiss" "Mr. King" "Stop 35"
"Store_228" 8.76891 50.81498 "imbiss" "Multi Kulti" "Stop 7"
"Store_230" 8.77464 50.80765 "imbiss" "Palmyra Bistro" "Stop 8"
"Store_231" 8.76887 50.82831 "imbiss" "Peter's Imbiss" "Stop 26"
"Store_232" 8.768828 50.815251 "imbiss" "Pizza Como Lario" "Stop 7"
"Store_233" 8.77109 50.8174 "imbiss" "Pizza da Pepe" "Stop 17"
"Store_234" 8.77179 50.80702 "imbiss" "Pizza Manhattan" "Stop 1"
"Store_235" 8.76 50.79 "imbiss" "Pizza Pikante" "Stop 40"
"Store_236" 8.75956 50.80557 "imbiss" "Pizza Tony" "Stop 48"
"Store_237" 8.75962 50.8013 "imbiss" "Pizzeria Paisano" "Stop 33"
"Store_238" 8.77137 50.81774 "imbiss" "Rhodos Grill" "Stop 17"
"Store_240" 8.75957 50.8023 "imbiss" "Salaedchen Marburg 2" "Stop 33"
"Store_241" 8.759256 50.804266 "imbiss" "Schmankerl Stub n" "Stop 48"
"Store_242" 8.81454 50.794164 "imbiss" "Schwaelmer Brotladen" "Stop 5"
"Store_246" 8.76907 50.83193 "imbiss" "Subway" "Stop 26"
"Store_247" 8.771401 50.80773 "imbiss" "Subway" "Stop 1"
"Store_250" 8.774098 50.808769 "imbiss" "Tom & Sally's" "Stop 35"
"Store_251" 8.77 50.79 "imbiss" "Wok Inn" "Stop 40"
"Store_252" 8.776111 50.803234 "bar_pub_bistro" "Aldi's Biergarten" "Stop 27"
"Store_253" 8.77297 50.80142 "bar_pub_bistro" "Aqua Oase" "Stop 34"
"Store_254" 8.76991 50.8204 "bar_pub_bistro" "Baari Bar" "Stop 24"
"Store_255" 8.769159 50.815351 "bar_pub_bistro" "Barrio Santo" "Stop 7"
"Store_256" 8.76527 50.80102 "bar_pub_bistro" "Bebop" "Stop 10"
"Store_257" 8.770744 50.808264 "bar_pub_bistro" "Bierwerk" "Stop 28"
"Store_258" 8.739135 50.791841 "bar_pub_bistro" "Bistro A Capella" "Stop 32"
"Store_259" 8.771057 50.808479 "bar_pub_bistro" "Bistro Caveau" "Stop 28"
"Store_260" 8.77326 50.81884 "bar_pub_bistro" "Bistro Treffpunkt" "Stop 17"
"Store_261" 8.77674 50.80517 "bar_pub_bistro" "Blues 'n Darts" "Stop 27"
"Store_262" 8.766509 50.817999 "bar_pub_bistro" "Bremsspur" "Stop 7"
"Store_263" 8.76951 50.81276 "bar_pub_bistro" "Cavete" "Stop 41"
"Store_264" 8.77357 50.8084 "bar_pub_bistro" "Cocktailbar Villa Biedermeier" "Stop 35"
"Store_265" 8.77535 50.81311 "bar_pub_bistro" "Diamond Lounge" "Stop 6"
"Store_266" 8.77086 50.80812 "bar_pub_bistro" "Enjoybar" "Stop 1"
"Store_267" 8.771261 50.80774 "bar_pub_bistro" "Havanna 8" "Stop 1"
"Store_268" 8.770116 50.80947 "bar_pub_bistro" "Hinkelstein" "Stop 29"
"Store_271" 8.75887 50.802 "bar_pub_bistro" "Knubbel" "Stop 33"
"Store_272" 8.77437 50.80696 "bar_pub_bistro" "Krokodil" "Stop 8"
"Store_273" 8.76922 50.80845 "bar_pub_bistro" "La Siesta" "Stop 16"
"Store_275" 8.76726 50.81709 "bar_pub_bistro" "Molly Malones" "Stop 7"
"Store_276" 8.771892 50.808873 "bar_pub_bistro" "Morgen" "Stop 35"
"Store_277" 8.76126 50.79714 "bar_pub_bistro" "Musikkneipe Clou" "Stop 14"
"Store_278" 8.766768 50.802154 "bar_pub_bistro" "Nero" "Stop 10"
"Store_279" 8.76976 50.80963 "bar_pub_bistro" "Pegasus" "Stop 29"
"Store_280" 8.754833 50.803279 "bar_pub_bistro" "Sam's Pub" "Stop 45"
"Store_281" 8.77022 50.81102 "bar_pub_bistro" "Schlucke" "Stop 29"
"Store_282" 8.771601 50.807238 "bar_pub_bistro" "Shotz Marburg" "Stop 1"
"Store_283" 8.775374 50.812035 "bar_pub_bistro" "Sinbad Shisha Bar" "Stop 9"
"Store_284" 8.770221 50.811741 "bar_pub_bistro" "Spock Absinth Bar" "Stop 41"
"Store_286" 8.76832 50.80253 "bar_pub_bistro" "Suedseite im TTZ" "Stop 4"
"Store_287" 8.76227 50.80659 "bar_pub_bistro" "Touchdown" "Stop 44"
"Store_289" 8.770244 50.812013 "bar_pub_bistro" "Tunnel" "Stop 41"
"Store_290" 8.77021 50.80775 "bar_pub_bistro" "U14" "Stop 11"
"Store_293" 8.77 50.7886 "restaurant" "Asia Bistro" "Stop 40"
"Store_295" 8.770267 50.812007 "restaurant" "Auflauf" "Stop 41"
"Store_296" 8.77 50.81 "restaurant" "Barny's Schnitzelscheune" "Stop 29"
"Store_297" 8.76681 50.809569 "restaurant" "Bueckingsgarten" "Stop 36"
"Store_298" 8.77449 50.80785 "restaurant" "Bulljong" "Stop 8"
"Store_299" 8.75556 50.7958 "restaurant" "Casa del Tennis" "Stop 2"
"Store_300" 8.77479 50.80055 "restaurant" "Chevy Marburg" "Stop 34"
"Store_301" 8.771108 50.809023 "restaurant" "China-Restaurant" "Stop 29"
"Store_302" 8.766305 50.843797 "restaurant" "Chinarestaurant Glueck" "Stop 26"
"Store_303" 8.776345 50.81318 "restaurant" "Colosseo" "Stop 6"
"Store_304" 8.76828 50.81463 "restaurant" "Curry Haus" "Stop 41"
"Store_305" 8.770579 50.809392 "restaurant" "Da Nella" "Stop 29"
"Store_306" 8.759176 50.805293 "restaurant" "Das kleine Restaurant" "Stop 48"
"Store_307" 8.770194 50.812155 "restaurant" "Delirium" "Stop 41"
"Store_310" 8.768514 50.808142 "restaurant" "Felix" "Stop 16"
"Store_311" 8.76899 50.81393 "restaurant" "Gartenlaube" "Stop 41"
"Store_312" 8.757391 50.842808 "restaurant" "Gaststaette zum Anglerheim" "Stop 26"
"Store_313" 8.79254 50.80251 "restaurant" "Hansenhaus links" "Stop 21"
"Store_315" 8.76907 50.81411 "restaurant" "I trulli" "Stop 41"
"Store_316" 8.76907 50.81562 "restaurant" "Indira" "Stop 7"
"Store_317" 8.778842 50.80499 "restaurant" "Irodion" "Stop 27"
"Store_318" 8.772491 50.829617 "restaurant" "Kaiser Palast" "Stop 26"
"Store_319" 8.766228 50.814238 "restaurant" "Kejtis Balkan Bistro" "Stop 41"
"Store_320" 8.767156 50.808115 "restaurant" "kostBar" "Stop 3"
"Store_321" 8.75854 50.79796 "restaurant" "La Piazzetta" "Stop 14"
"Store_322" 8.77393 50.80774 "restaurant" "Lahnterrasse" "Stop 35"
"Store_323" 8.768733 50.814571 "restaurant" "Lokomotive Gyros Haus Alex" "Stop 41"
"Store_324" 8.772826 50.820481 "restaurant" "Mai-Tai" "Stop 24"
"Store_325" 8.77157 50.81819 "restaurant" "Marburger Esszimmer" "Stop 17"
"Store_326" 8.770115 50.808997 "restaurant" "Market" "Stop 28"
"Store_327" 8.77 50.80891 "restaurant" "MAXX" "Stop 28"
"Store_328" 8.76477 50.80118 "restaurant" "O Vinho" "Stop 10"
"Store_330" 8.77 50.81205 "restaurant" "Osteria Da Enzo" "Stop 41"
"Store_331" 8.771293 50.809239 "restaurant" "Paprika" "Stop 29"
"Store_332" 8.76601 50.80236 "restaurant" "Pfeffer+Salz" "Stop 10"
"Store_333" 8.766517 50.81427 "restaurant" "Pizza Il Cavallino" "Stop 41"
"Store_334" 8.76146 50.80638 "restaurant" "Pizzaria Piccolino" "Stop 44"
"Store_335" 8.753215 50.835745 "restaurant" "Pizzeria Costa Smeralda" "Stop 26"
"Store_336" 8.770925 50.808899 "restaurant" "Ratsschaenke" "Stop 29"
"Store_337" 8.767267 50.814376 "restaurant" "Restaurant Athena" "Stop 41"
"Store_338" 8.775063 50.811492 "restaurant" "Restaurant Elif" "Stop 9"
"Store_339" 8.76819 50.8188 "restaurant" "Restaurant Rosenkavalier" "Stop 24"
"Store_341" 8.76838 50.81878 "restaurant" "Restaurant Zirbelstube" "Stop 24"
"Store_342" 8.790962 50.801354 "restaurant" "Ristorante-Pizzeria L isoletta" "Stop 21"
"Store_343" 8.77579 50.80575 "restaurant" "Schamdan" "Stop 27"
"Store_344" 8.734262 50.811061 "restaurant" "Sellhof" "Stop 39"
"Store_345" 8.77434 50.80803 "restaurant" "Shaky Shake" "Stop 8"
"Store_346" 8.776159 50.816202 "restaurant" "Sushi Sakura" "Stop 30"
"Store_348" 8.775233 50.811679 "restaurant" "Tandoori" "Stop 9"
"Store_350" 8.767451 50.814177 "restaurant" "Taverna Korfu" "Stop 41"
"Store_351" 8.76362 50.79554 "restaurant" "Taverna Thessaloniki" "Stop 43"
"Store_352" 8.76882 50.81576 "restaurant" "Tokyo Sushi" "Stop 7"
"Store_353" 8.771361 50.80773 "restaurant" "Trattoria Pizzeria Basilicata" "Stop 1"
"Store_354" 8.78944 50.81266 "restaurant" "Waldgaststaette Spiegelslust" "Stop 23"
"Store_355" 8.770035 50.809799 "restaurant" "Weinlaedle" "Stop 29"
"Store_356" 8.77195 50.81789 "bar_pub_bistro" "Aroma Bistro & Eisbar" "Stop 17"
"Store_358" 8.77224 50.81812 "bar_pub_bistro" "Aroma Lahn Beach" "Stop 17"
"Store_360" 8.775375 50.812006 "restaurant" "Biegenstuebchen" "Stop 9"
"Store_364" 8.770738 50.809891 "restaurant" "Bistro Early" "Stop 29"
"Store_366" 8.76957 50.805109 "bar_pub_bistro" "Bistro Waschbrett" "Stop 4"
"Store_368" 8.771454 50.808987 "restaurant" "Brasserie" "Stop 29"
"Store_372" 8.77291 50.827697 "restaurant" "Cala Luna" "Stop 37"
"Store_374" 8.771079 50.809972 "bar_pub_bistro" "Die Pause" "Stop 29"
"Store_376" 8.770236 50.809253 "restaurant" "Edlunds" "Stop 29"
"Store_380" 8.77411 50.80873 "restaurant" "Enchilada" "Stop 35"
"Store_384" 8.775739 50.812486 "supermarket" "Fireflight Spaeti" "Stop 6"
"Store_386" 8.75039 50.77297 "restaurant" "Gasthof Grebe" "Stop 13"
"Store_388" 8.776256 50.813413 "supermarket" "GUTKAUF" "Stop 6"
"Store_390" 8.78024 50.78972 "imbiss" "Hama" "Stop 22"
"Store_392" 8.77163 50.80438 "restaurant" "Havana" "Stop 4"
"Store_394" 8.769773 50.80772 "restaurant" "Hesse Stuebchen" "Stop 11"
"Store_398" 8.770468 50.809509 "restaurant" "Hostaria del Castello" "Stop 29"
"Store_400" 8.74333 50.77004 "restaurant" "Hotel Fasanerie" "Stop 13"
"Store_402" 8.76559 50.80465 "cafe" "Konditorei Klingelhoefer" "Stop 31"
"Store_406" 8.773583 50.80903 "restaurant" "Memba" "Stop 35"
"Store_408" 8.76845 50.80791 "restaurant" "Nero Centro" "Stop 16"
"Store_410" 8.771074 50.808675 "restaurant" "Plan B" "Stop 29"
"Store_412" 8.76 50.81 "restaurant" "Prima Pasta" "Stop 18"
"Store_414" 8.77102 50.80515 "restaurant" "Quodlibet" "Stop 38"
"Store_418" 8.77843 50.81712 "restaurant" "Rotkehlchen" "Stop 30"
"Store_420" 8.76904 50.81422 "restaurant" "Sudhaus" "Stop 41"
"Store_422" 8.76912 50.80494 "bar_pub_bistro" "Vinopolio" "Stop 4"
"Store_424" 8.770626 50.809296 "restaurant" "Zur Sonne" "Stop 29"
